Fecha,DIALLU0.1,HUMCALH,HUMCALMAXD,HUMCALMIND,HUMSUEPROF1MTS,HUMAIR2MTSH,HUMSUE20CMH,PREACU2MIN,PREINT30MIN,TEMSUE10CM
2017-11-29 07:00:00,0,93,93,43,7.8,6.4,21.8,8.4,0,10
2017-11-30 07:00:00,1,95,95,46,9,7.6,22.2,9.4,2.8,9.8
2018-02-01 07:00:00,0,95,95,32,5.6,4,22.8,6,0,5.8
2018-02-02 07:00:00,0,95,95,52,8.8,6.4,22.2,9.2,0,9.8
2018-02-05 07:00:00,0,96,96,49,10.8,10.6,23,11.2,0,11
2018-02-06 07:00:00,0,95,95,45,8.8,8.4,23.2,9.2,0,10.2
2018-02-07 07:00:00,0,94,94,52,11.8,9.6,23.4,12.4,0,12.8
2018-02-08 07:00:00,0,95,95,50,7.2,5.4,22,7.6,0,10.4
2018-02-09 07:00:00,0,89,89,49,10,8,21,11,0,11.2
2018-02-12 07:00:00,0,86,86,44,9,7,20.8,10.2,0,10.6
2018-02-13 07:00:00,0,92,92,47,6.4,5.8,21.6,7,0,8.2
2018-02-14 07:00:00,1,91,91,57,11.2,7.4,21,12,24.6,12.6
2018-02-15 07:00:00,1,93,93,58,11,10.2,21.4,11.6,4.8,11.4
2018-02-16 07:00:00,0,93,93,50,9.2,9,21.2,9.8,0,10
2018-02-19 07:00:00,0,93,93,52,10,9,22.2,10.6,0,13
2018-02-20 07:00:00,0,95,95,46,6.4,5.8,22.4,6.8,0,8
2018-02-21 07:00:00,1,95,95,48,6.2,5.4,21.8,6.6,2.2,9
2018-02-22 07:00:00,0,93,93,52,10.6,7.4,18.8,11.2,0,12
2018-02-23 07:00:00,1,93,93,57,10.2,9.4,19.2,10.8,4.4,11
2018-02-26 07:00:00,0,93,93,45,7.8,5.2,20.2,8.4,0,8.8
2018-02-27 07:00:00,0,95,95,44,5,3.2,21.4,5.4,0,7.2
2018-02-28 07:00:00,0,95,95,57,7,6.8,21.6,7.4,0,9.8
2018-03-01 07:00:00,0,91,91,47,9.6,8,21.2,10.4,0,11.2
2018-03-02 07:00:00,1,89,89,57,11,10.8,20.4,12,0.6,13
2018-03-05 07:00:00,1,91,91,53,9.4,9.4,20.2,10.2,1.2,10
2018-03-06 07:00:00,1,95,95,54,9.8,9,17.4,10.2,1.4,10.4
2018-03-07 07:00:00,1,93,93,57,10.6,8.8,18,11.2,1.8,12.6
2018-03-08 07:00:00,1,96,96,55,11.2,10.8,18.2,11.6,6.5,12.2
2018-03-09 07:00:00,0,93,93,51,8.4,8.2,17.2,9,0,10.4
2018-03-12 07:00:00,0,95,95,50,7,4.4,21.4,7.4,0,7
2018-03-13 07:00:00,0,92,92,40,6,3.8,22.2,6.6,0,7.6
2018-03-14 07:00:00,0,93,93,37,7.4,4.6,22.4,8,0,7.8
2018-03-15 07:00:00,1,92,92,56,5.2,3.8,22.2,5.8,1.4,7
2018-03-16 07:00:00,0,93,93,55,8.8,6.2,22,9.4,0,11
2018-04-02 07:00:00,1,94,94,44,11.8,10.2,20,12.4,3,13
2018-04-03 07:00:00,1,93,93,58,10.4,9.8,19.2,11,26.2,13.2
2018-04-05 07:00:00,1,96,96,55,10.8,10.4,20,11.2,2.2,13
2018-04-06 07:00:00,1,96,96,55,11,10.8,15.6,11.4,3.8,11.8
2018-04-09 07:00:00,1,91,91,57,9.6,7.8,21.2,10.4,0.8,13
2018-04-10 07:00:00,1,92,92,71,11.6,10.8,17.2,12.4,18.2,14
2018-04-11 07:00:00,1,96,96,62,11.2,10.2,21.8,11.6,26.8,11.4
2018-04-12 07:00:00,1,96,96,73,12,11.6,17.6,12.4,3.5,12
2018-04-13 07:00:00,1,93,93,66,10.6,10.4,20.6,11.2,16,11
2018-04-16 07:00:00,0,98,98,63,9.6,8,19.2,9.8,0,9.2
2018-04-17 07:00:00,1,93,93,59,9.4,8.8,17.6,10,2.4,10.4
2018-04-18 07:00:00,1,89,89,65,11.4,10.6,20.4,12.4,1.2,12.4
2018-04-19 07:00:00,0,93,93,63,10.6,9.8,18,11.2,0,11.6
2018-04-20 07:00:00,1,81,81,64,10.4,11,21.2,12.2,0.8,11.6
2018-04-23 07:00:00,0,87,87,51,9.6,7.6,20.8,10.8,0,13.8
2018-04-24 07:00:00,0,95,95,59,10.2,8.4,21.2,10.6,0,10.6
2018-04-25 07:00:00,1,87,87,62,10.4,9.2,19.2,11.6,10.6,13
2018-04-26 07:00:00,1,93,93,54,11.2,10.6,19,11.8,0.5,11.6
2018-04-27 07:00:00,0,94,94,70,12,11.8,18.2,12.6,0,12.2
2018-05-02 07:00:00,1,96,96,64,11.2,7,19,11.6,1.5,11
2018-05-03 07:00:00,1,93,93,61,10.4,9.8,21.2,11,0.8,10.4
2018-05-04 07:00:00,1,89,89,64,11,10.8,19.4,12,1.6,10.8
2018-05-07 07:00:00,1,94,94,58,11.8,9.2,19,12.4,14.4,10.4
2018-05-08 07:00:00,1,95,95,62,10.2,10,18,10.6,13.2,9
2018-05-09 07:00:00,0,94,94,64,11.8,10.2,20.2,12.4,0,11.2
2018-05-10 07:00:00,1,94,94,59,11.6,11,21,12.2,20.6,12
2018-05-11 07:00:00,1,96,96,63,11.4,11.2,20.8,11.8,1.4,10.8
2018-05-15 07:00:00,1,96,96,60,12,10.6,18.6,12.4,13.2,11.8
2018-05-16 07:00:00,0,95,95,62,8.6,7,18.8,9,0,9
2018-05-17 07:00:00,0,95,95,58,8.8,7.6,19.6,9.2,0,11.2
2018-05-18 07:00:00,0,95,95,55,9,7.4,21.6,9.4,0,9.6
2018-05-21 07:00:00,0,91,91,66,11.4,11,18.4,12.2,0,11.4
2018-05-22 07:00:00,1,95,95,56,8.8,6.8,20.2,9.2,42,8.8
2018-05-23 07:00:00,1,92,92,72,11.8,9.8,17.8,12.6,6,12
2018-05-24 07:00:00,1,96,96,67,12.4,11.4,18,12.8,4,11.8
2018-05-25 07:00:00,1,95,95,56,9.8,9,19.6,10.2,0.6,10.8
2018-05-28 07:00:00,1,96,96,69,10.8,7.8,18,11.2,0.7,11
2018-05-29 07:00:00,1,89,89,61,10.4,9,21,11.4,2.3,12.2
2018-05-30 07:00:00,0,91,91,54,11.4,11.6,19.4,12.2,0,12.6
2018-05-31 07:00:00,0,96,96,62,11.6,11.2,19.6,12,0,13
2018-06-01 07:00:00,1,96,96,63,11.8,9.2,18.4,12.2,1.2,11.2
2018-06-05 07:00:00,1,95,95,63,9,8.8,18.6,9.4,1.2,8.2
2018-06-06 07:00:00,0,96,96,60,10.4,10,19.8,10.8,0,9.8
2018-06-07 07:00:00,0,93,93,68,7.4,6.6,17.8,8,0,9.2
2018-06-08 07:00:00,0,94,98,69,12,8.6,19.2,12.6,0,11.4
2018-07-11 07:00:00,0,81,81,57,10,10.2,18.8,11.8,0,12.2
2018-07-12 07:00:00,1,91,91,59,10.8,10.4,19.4,11.6,0.6,10.8
